Date,Time,Location,Operator,Flight Number,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
07/17/94,21:45,"Near Fort de France, Martinique",Air Martinique,1,Bridgetown - Fort de France,Britten-Norman BN-2B-26 Islander,8P-TAD,2152,6,6,0
07/17/94,12:00,"Boma, DemocratiRepubliCongo",Sankuru Air Service,2,Training,Yakovlev 40D,RA-87256,9311326,9,5,0
07/19/94,12:00,"Colon, Panama",Alas Chiricanas,3,Colon - Panama City,Embraer 110P1 Bandeirante,HP-1202AC,110-375,21,21,0
07/26/94,12:00,"East Kalimantan, Indonesia",Airfast Services,4,Kilo Lima - Kelawit,Sikorsky S-58ET,PK-OBT,58-1098,18,18,0
08/05/1994,08:50,"Near Boda, Russia",Military - Russian Air Force,5,Dzhida - Boda,Antonov AN-12,Unknown,Unknown,47,47,0
08/10/1994,11:22,"Cheju, South Korea",Korean Airlines,6,Seoul - Cheju,Airbus A300B4-622R,HL-7296,583,160,0,0
08/11/1994,17:00,"Alsworth, Alaska",Air Taxi - Talon Air Services Inc.,7,"Caribou Lake, AK - Nikiski, AK",de Havilland DHC-2,N17394,495,3,3,0
08/12/1994,21:05,"Whiting, New Jersey",Air Taxi - National Helicopters,8,"New York, NY - AtlantiCity, NJ",Bell 206L-4,N124NH,52089,3,3,0
08/14/94,09:27,"Kenai, Alaska",Air Taxi - Lake Clark Air Inc.,9,"Merrill Field, AK - Port Alsworth, AK",Piper PA-32-260,N4839S,321268,4,3,0
08/21/94,12:00,"Near Agadir, Morocco",Royal Air Maroc,10,Agadir - Casablanca,Aerospatiale ATR-42-300,CN-CDT,127,44,44,0
09/08/1994,19:03,"Near Aliquippa, Pennsylvania",USAir,11,Chicago - Pittsburgh,Boeing B-737-3B7,N513AU,23699/1452,132,132,0
09/13/94,12:05,"Near Abuja, Nigeria",Aerocontroctors - Charter,12,Lagos - Abuja,de Havilland Canada DHC-6 Twin Otter 300,5N-ATQ,538,5,3,0
09/17/94,11:48,"Fish Egg Inlet, Canada",PacifiCoastal Airlines,13,Fish Egg Inlet - Pruth Bay,de Havilland Canada DHC-6 Twin Otter 100,C-FDMR,36,4,3,0
09/18/94,08:07,"Tamanrasset, Algeria",Oriental Airlines,14,Tunis - Tamanrasset,BAC One-Eleven 515FB,5N-IMO,229,39,5,0
09/23/94,19:15,"Kowloon Bay, Hong Kong",Heavylift Cargo Airlines,15,Hong Kong - Jakarta,Lockheed L-100-30 Hercules,PK-PLV,4826,12,6,0
09/26/94,17:38,"Near Vanavera, Russia",Cheremshanka Airlines,16,Krasnoyarsk - Tura,Yakovlev YAK-40,RA-87468,9..1337,28,28,0
09/28/94,12:00,"Bahia Negra, Paraguay",TAM Paraguay,17,Bahia Negra - Asuncion,Douglas C-47D,FAP2009,34346,27,1,0
09/29/94,12:00,"Buenos Aires, Brazil",Radeair,18,"Cordoba Pajas Blancas - Buenos Aires, Brazil",Rockwell 1121B Jet Commander,LV-WEN,126,9,8,0
09/30/94,11:10,"Chaibukha, Russia",Arsenyev Aviation Production Association,19,Chaibukha - Provedenia,Antonov AN-8,RA-27209,OA-3460,20,8,0
12/15/94,06:15,"Lobito, Angola",SL Aviation Services,20,Unknown,Douglas DC-3,N96BF,13321,2,2,0
10/08/1994,15:45,"Mitu, Colombia",SELVA,21,Villavicencio - Mitu,Antonov AN-32B,HK3929X,3301,10,10,0
10/12/1994,22:50,"Krakas Mountains, near Natanz , Iran",Iran Asseman Airlines,22,Isfahan - Terhan,Fokker F-28 Fellowship 1000,EP-PAV,11070,66,66,0
10/14/94,22:00,"Near Formoso do Aragala, Brazil",Military - Brazilian Air Force,23,Rio de Janeiro - Belem,Lockheed C-130E,C-130-2460,4293,21,21,0
10/26/94,12:00,"Near Cuito, Angola",Military - Angolan Air Force,24,Unknown,Mil Mi-8MTV (helicopter),H534,Unknown,22,22,0
10/29/94,12:00,"Batagaj, Russia",Yakutavia,25,Unknown,Antonov AN-2,RA-33008,1G217-55,19,7,0
10/29/94,21:30,"Near Ust'-Ilimsk, Russia",Aeronica,26,Yushno - Ust Ilimsk,Antonov AN-12BP,RA-11790,1340302,23,23,0
10/31/94,15:59,"Roselawn, Indiana",American Eagle,27,Indianapolis - Chicago,ATR-72-212,N401AM,401,68,68,0
11/01/1994,12:00,"Off Cozumel, Mexico",Transportes Aereos Pegaso,28,Cozumel - Chichen Itza,Bell 212,XA-SVS,30824,14,14,0
11/04/1994,12:00,"Near Nabire, Indonesia",Trigana Air Service,29,Nabire - Obano,de Havilland Canada DHC-6 Twin Otter 100,PK-YNM,55,4,4,0
11/05/1994,12:00,"Saposa, Peru",SA Amazonica,30,Trujillo - Saposa,Yakovlev YAK-40,OB-1569,9140220,30,6,0
11/16/94,02:40,"Avenal, California",Ameriflight,31,Burbank - Oakland,Beechcraft C99,N63995,U-178,1,1,0
11/22/94,11:40,Papua New Guinea,Southwest Air,32,Selbang - Bolvovip,Britten Norman BN-2A Trislander,P2-SWC,835,7,7,0
11/22/94,22:03,"Bridgeton, Missouri",Trans World Airlines / Private,33,Unknown,McDonnell Douglas DC-9-82 / Cessna 441,N954U/N411KM,49426 / 0196,142,2,0
11/25/94,12:00,"Near Cuito, Angola",Military - Angolan Air Force,34,Unknown,Mil Mi-17 (helicopter),H584,Unknown,22,22,0
12/10/1994,11:30,PacifiOcean,Philippine Air Lines,35,Manila - Cebu - Tokyo,Boeing B-747-200,EI-BWF,21575,293,1,0
12/10/1994,19:00,"Elim, Alaksa",Air Taxi - Ryan Air Service,36,"Nome, AK - Koyuk, AK",Cessna 402C,N1238K,402C-1019,5,5,0
12/13/94,18:34,"Morrisville, North Carolina",American Eagle,37,Greensboro - Raleigh,British Aerospace Jetstream 3201,N918AE,918,20,15,0
12/17/94,10:30,"Cerro Aicha, Venezuela",Servivensa,38,Unknown,Douglas C-47A-10-DK,YV-761C,12476,9,7,0
12/17/94,13:20,"Papua, New Guinea",Missionary Aviation Fellowship,39,Tabubil - Selbang,de Havilland Canada DHC-6 Twin Otter 200,P2-MFS,187,28,28,0
12/21/94,09:53,"Coventry, England",Phoenix Aviation,40,East Midlands - Coventry,Boeing 737-2D6C,7T-VEE,20758/322,5,5,0
12/26/94,17:00,"Algiers Airport, Algeria",Air France,41,Alger - Paris,Airbus A300B2-1C,F-GBEC,104,239,3,0
12/29/94,15:30,"Near Van, Turkey",Turkish Airlines (THY),42,Ankara - Van,Boeing B-737-4Y0,TC-JES,26074/2376,76,57,0
01/05/1995,20:45,"Isfahan, Iran",Military - Iranian Air Force,43,Isfahan - Tehran,Lockheed 1329 Jetstar 8,1003,5203,12,12,0
01/10/1995,12:00,"Off Flores Island, Inodnesia",Merpati Nusantara Airlines,44,Bima - Ruteng,de Havilland Canada DHC-6 Twin Otter 300,PK-NUK,390,14,14,0
01/11/1995,19:38,"Cartagena, Colombia",Intercontinental de Aviacion,45,Bogota - Cartagena,McDonnell Douglas DC-9-14,HK-3839X,45742/26,52,51,0
01/11/1995,18:00,"Flagstaff, Arizona",Empire Airlines,46,Flagstaff - Phoenix,Cessna 208B Caravan I Super Cargomaster,N746FE,208B-0236,1,1,0
01/11/1995,01:50,"Masset, British Columbia, Canada",Canada Jet Charters,47,Vancouver - Masset,Learjet 35,C-GPUN,35-058,5,5,0
01/12/1995,17:47,"Pleasanton, California",West Air,48,Visalia - Oakland,Cessna 208B Caravan I Super Cargomaster,N754FE,208B-0249,1,1,0
01/14/95,04:40,"Blyn, Washington",Air Taxi - Coastal Airways Inc.,49,"Sequim, WA - Seattle, WA",Cessna 172N,N1535E,17271039,4,3,0
01/14/95,19:45,"Los Angeles, CA",Air Taxi - Wolfe Air Aviation Ltd.,50,"Los Angeles, CA - Burbank, CA",Bell 206B,N2209P,3520,4,2,0
01/17/95,13:59,"Kathmandu, Nepal",Royal Nepal Airlines,51,Kathmandu - Rumjatar,de Havilland Canada DHC-6 Twin Otter 300,9N-ABI,392,24,2,0
01/20/95,19:13,"Near Krasnoyarsk, Russia",Abakan Airlines,52,Krasnoyarsk - Abakan,Let 410UVP,RA-67120,790316,19,3,0
01/20/95,12:00,"Le Bourget, France",Leadair - Charter,53,Paris - Romania,Dassault Falcon 20E,F-GHLN,225,10,10,0
01/30/95,19:43,"Kuei Shan Hsiang, Taiwan",Transasia Airways,54,Unknown,Aerospatiale ATR-72,B-22717,435,4,4,0
02/13/95,15:36,"Near Tusayan, Arizona",Las Vegas Airlines,55,"AZ - Las Vegas, NV",Piper PA-31-350 Navajo,N27245,31-77552121,10,8,0
02/16/95,20:30,"Kansas City, Missouri",ATI,56,Kansas City - Chicopee,McDonnell Douglas DC-8-63F,N782AL,45929/367,3,3,0
03/16/95,12:00,"Ossora, Russia",Aeroflot,57,Petropavlovsk -  Ossora,Antonov 26B,RA-26084,11806,10,9,0
03/22/95,08:12,"Reno, Nevada",Union Flights,58,"Sacramento, CA - Reno, NV",Cessna 208B Caravan I Super Cargomaster,N9417B,208B-0065,1,1,0
03/29/95,12:10,"Near Hamilton, New Zealand",Kiwi West Aviation,59,Hamilton -  New Plymouth,Beech Queen Air B80,ZK-TIK,LD-249,6,6,0
03/31/95,09:11,"Near Balotesti, Romania",Transporturile Aeriene Romane (TAROM),60,Bucharest - Brussel,Airbus A310-324,YR-LCC,450/395,60,60,0
04/17/95,18:30,"Near Alexander City, Alabama",Military - U.S. Air Force,61,"Camp Springs, MD - San Antonio, TX",Learjet C-21A,84-0136,35-583,8,8,0
04/23/95,12:40,"Lagos, Nigeria",Bristow Helicopters,62,Port Harcourt - Lagos,de Havilland Canada DHC-6 Twin Otter 300,5N-AJQ,607,9,1,0
04/27/95,19:57,"Alice Springs, Australia",IAI 1124 Westwind,63,Tindal - Alice Springs,Pel Air,VH-AJS,221,3,3,0
04/29/95,12:00,"Near Palaly AFB, Sri Lanka",Military - Sri Lanka Air Force,64,Anuradhapura - Palaly AFB,Hawker Siddeley HS-748-357/2B SCD,4R-HVA,1768,52,52,0
05/01/1995,13:28,"Sioux Falls, Ontario, Canada",Bearskin Airlines / Air Sandy,65,Red Lake - Sioux Lookout  / Sioux Lookout - Red Lake,Swear. SA-227CC Metro 23/Piper Navajo,C-GYYB/ C-GYPZ,CC-827B /,8,8,0
05/03/1995,00:45,"Quito, Ecuador",American Jet,66,Buenos Aires - La Paz - Quito,Grumman Gulfstream II,N409MA,83,7,7,0
05/09/1995,16:35,"Cerro San Jeronimo, Colombia",ADES Colombia,67,Mitu - Villavicencio,Curtiss C-46F,HK-3079G,22538,9,9,0
05/13/95,12:00,"Near Boise, Idaho",Military - U.S. Air Force,68,"Boise, ID - Colorado Springs, CO",Lockheed C-130E Hercules,62-1838,3801,6,6,0
05/24/95,16:51,"Near Leeds, England",Knight Air,69,Leeds - Aberdeen,Embraer 110 P1 Bandeirante,G-OEAA,110-256,12,12,0
05/25/95,15:00,"Miraflores, Colombia",LACOL,70,Villavicencio - Miraflores,Douglas DC-3C,HK-3213,25659,11,2,0
05/29/95,12:00,"Off Mbour, Senegal",Senegalair,71,Unknown,Piper PA-31-310 Navajo,6V-AGH,31-205,10,6,0
06/08/1995,19:08,"Atlanta, Georgia",ValuJet,72,Atlanta - Miami,McDonnell Douglas DC-9-32,N908VJ,47321,62,0,0
06/09/1995,09:22,"Near Palmerston North, New Zealand",Ansett New Zealand,73,Auckland - Palmerston North,de Havilland Canada DHC-8-102,ZK-NEY,55,21,5,0
06/14/95,12:00,"Volgograd, Russia",Volga Air,74,Poliny Osipenko - Nikolayevsk-on-Amur,Antonov 2R,CCCP-68142,1G195-47,12,12,0
06/16/95,14:15,"Herputchi, Russia",Aeroflot,75,Poliny - Nikolayevsk-on-Amur,Antonov AN-2,RA-07743,1G259-18,14,13,0
06/17/95,12:00,"Near Cuvela, Angola",Military - Angolan Air Force,76,Ondjiva - Catumbela,CASA 212-200 Aviocar,T401,A53-2-326,48,48,0
06/24/95,16:05,"Lagos, Nigeria",Harka Air Services,77,Kaduna - Lagos,Tupolev TU-134A,RA-65617,4308068,80,16,0
06/27/95,09:50,"La Romana, Dominican Republic",Salair,78,"Santo Domingo - Aguadilla, Puerto Rico",Convair CV-440,N356SA,432,2,2,0
06/30/95,20:00,"Kodiak, Alaska",Air Taxi - Island Air Service,79,Karluk - Kodiak,Piper PA-32-301,N8385G,328106063,4,4,0
07/01/1995,12:00,"Kiunga, Papua New Guinea",Garamut Aviation,80,Port Moresby - Tabubil,de Havilland Canada C-7A Caribou,P2-VTC,13,3,3,0
07/07/1995,14:56,"Haines, Alaska",Air Taxi - Lab Flying Service Inc.,81,Sightseeing,Piper PA-32R-300,N6281J,32R7680348,6,6,0
07/12/1995,08:00,"Gumey, Papua New Guinea",Milne Bay Air,82,Alotou - Dagura,de Havilland Canada DHC-6 Twin Otter 300,P2-MBI,275,15,15,0
07/17/95,12:00,"Bintuni,  Indonesia",Merpati Nusantara Airlines,83,Unknown,de Havilland Canada DHC-6 Twin Otter 300,PK-NUT,473,18,1,0
07/18/95,12:00,"Near Antananivo, Madagascar",Military - Madagascar Air Force,84,Maintirano - Antananivo,Douglas C-47A,5R-MMG,19525,34,34,0
07/25/95,12:00,"Near Karamui, Papua New Guinea",Transniugini Airways,85,Unknown,Britten-Norman BN-2A Islander,P2-TNT,393,2,2,0
08/02/1995,12:00,"Johannesburg, South Africa",Aero Air,86,Johannesburg - Jamba,Antonov An-2R,RA-05708,1G153-21,3,3,0
08/09/1995,20:14,"Mt. Chichontepec, San Vincente, El Salvador",Aviateca,87,Guatemala City - San Salvador,Boeing B-737-2H6,N125GU,23849,65,65,0
08/09/1995,12:00,"Near Kaimana, Indonesia",Bourag Indonesia Airlines,88,Tual - Langgar - Kaimana,Hawker Siddeley HS-748 2A,PK-KHL,1735,10,10,0
08/14/95,12:00,"Nevada del Huila, Colombia",AIRES Colombia,89,Neiva - Cali,Embraer 110P1 Bandeirante,HK-2594,110310,10,10,0
08/21/95,12:53,"Near Carrollton, GA",AtlantiSoutheast Airlines,90,Atlanta - Gulfport,Embraer 120-RT Brasilia,N256AS,120-122,29,10,0
09/01/1995,12:00,"Near Farewell, Alaska",North Star Air Cargo,91,Farewell - Anchorage,Shorts SC-7 Skyvan,N30GA,SH-1839,1,1,0
09/02/1995,12:00,"Toronto, Ontario, Canada",Military - Royal Air Force,92,Air Show,British Aerospace Nimrod MR-2P,XV239,8014,7,7,0
09/02/1995,08:38,"Beaver Dam, Arizona",Adventure Airlines,93,"Las Vegas, NV - W. Yellowstone, MT",Cessna 421C Golden Eagle,N6234G,421C-0265,8,8,0
09/09/1995,07:15,"Near La Macarena, Colombia",SAETA,94,Villavicencio - La Macarena,CASA 212 Aviocar 200,FAC1152,306,22,21,0
09/11/1995,12:00,"Jalalabad, Afghanistan",Ariana Afghan Airlines,95,Kabul - Jalalabad,Antonov AN-26B,YA-BAO,14305,51,3,0
09/12/1995,07:20,"Off Colombo, Sri Lanka",Military - Sri Lanka Air Force,96,Ratmalana - Palali base,Antonov AN-32,CR861,3502,81,81,0
09/13/95,20:30,"Marsh Harbour, Bahamas",Bimini Air Charter Inc.,97,Bimini - Mores Cay,Cessna 402B,N69303,402B-0423,9,5,0
09/15/95,12:22,"Tawau,  Malaysia",Malaysia Airlines,98,Kota Kinabalu - Tawau,Fokker 50,9M-MGH,20174,53,34,0
09/16/95,06:28,"Tamworth, Australia",Tamair,99,Training,Swearingen SA.227AC Metro III,VH-NEJ,AC-629B,3,2,0
09/21/95,12:30,"Near Moron, Mongolia",MIAT - Mongolian Airlines,100,Ulan Bator - Moron,Antonov AN-24RV,BNMAU-10103,573101103,43,42,0
09/22/95,07:45,"Anchorage, Alaska",Military - U.S. Air Force,101,Anchorage-Elmendorf AFB - Anchorage-Elmendorf AFB,Boeing B-707 (E-3B),77-0354,21554/933,24,24,0
09/24/95,12:00,"Sterligov Cape, Russia",Norilsk Flight Company,102,Cape Chelyuskin - Sterligov Cope,Mil Mi-8T,RA-24553,98522942,15,15,0
09/27/95,19:10,"Campbell River, British Columbia, Canada",Western Straits Air,103,Triumph Bay - Campbell River,De Havilland Dash-3,C-FEBX,38,10,8,0
10/03/1995,08:00,"Gunung Antara, Indonesia",Sabang Merauke Raya Air Charter,104,Medan - Meulaboh,CASA 212,PK-ZAG,158/28N,14,1,0
10/04/1995,12:00,"Barskoon, Kirghizia",Kirghizia Aba Zaoldoru,105,Unknown,Mil Mi-8MTV-1,EX-25179,95489,15,15,0
10/10/1995,07:40,"Bayfield, Colorado",Air Taxi - Durango Air Service,106,Unknown,Cessna 172RG,N4834V,172RG0395,3,3,0
10/22/95,12:00,"Papua, New Guinea",Islands Nationair,107,Unknown,Britten-Norman BN-2A Trislander,Unknown,Unknown,13,13,0
10/31/95,20:50,"Near Piedras Negras, Mexico",TACSA,108,Saltillo - Piedras Negras,Cessna 208B Caravan,XA-SVM,208B-0214,11,9,0
11/09/1995,21:00,"Near Luyaba, Argentina",Military - Argentine Air Force,109,Comodoro Rivadavia - Cordoba,Fokker F-27 Friendship 500,TC-72,10619,53,53,0
11/13/95,08:55,"Kaduna, Nigeria",Nigeria Airways,110,Jos - Kano,Boeing B-737-2F9,5N-AUA,22985,137,9,0
11/22/95,19:00,"Off Jaffna Peninsula , Sri Lanka",Military - Sri Lanka Air Force,111,Colombo - Palay AFB,Antonov AN-32,CR862,3503,63,63,0
11/29/95,10:15,"Off Labuan, Malaysia",Sabah Air,112,Unknown,Bell 412 (helicopter),9M-AYW,33171,10,10,0
11/30/95,19:10,"Baku, Azerbaijan",Azerbaijan Airlines,113,Unknown,Boeing 707-323C,4K-401,19584/663,6,2,0
12/03/1995,22:44,"Near Douala, Cameroon",Cameroon Airlines,114,Cotonou - Douala,Boeing B-737-2K9,TJ-CBE,23386/1143,78,72,0
12/05/1995,17:55,"Near Nakhichevan, Azerbaijan, Russia",Azerbaijani Airlines,115,Nakhichevan - Baku,Tupolev TU-134B-3,4K-65703,63383,82,54,0
12/07/1995,05:20,"Near Grossevichi, Russia",Far East Aviation,116,Yushno - Khabarovk,Tupolev TU-154B,RA-85164,76A-0164,98,98,0
12/08/1995,18:00,"Near Belle Anse, Haiti",Air St. Martin,117,Cayenne - Port-au-Prince,Beechcraft 1900D,F-OHRK,UE-119,20,20,0
12/13/95,19:00,"Verona  - Villafranca, Italy",Romanian Banat Air,118,Verona - Timisoara,Antonov AN-24B,YR-AMR,77303309,49,49,0
12/18/95,12:00,"Kahengula, Angola",Trans Service Airlift,119,Kinshasa - Jamba,Lockheed L-188C Electra,9Q-CRR,1080,144,141,0
12/20/95,21:38,"Near Buga, Valle del Cauca, Colombia",American Airlines,120,Miami - Cali,Boeing B-757-223,N651A,24609,164,160,0
12/22/95,12:00,"Bagasin, Papua New Guinea",Island Airways,121,Madang - Bundi,Britten Norman BN-2A-21 Trislander,P2-NAM,207,12,2,0
03/12/1996,12:00,"Karabogazgol Bay, Turkmenistan",Akhal Air,122,Unknown,Mil Mi-8T (helicopter),EZ-22684,8142,12,12,0
01/08/1996,12:43,"Kinshasa, Zaire",African Air,123,Kinshasa - Kahemba,Antonov AN-32B,RA-26222,2301,6,2,225
01/08/1996,12:00,"Off Bridgetown, Barbados",Mustique Airways,124,Union Island - Bridgetown,Britten-Norman BN-2A-27 Islander,J8-VAK,436,10,1,0
01/18/96,20:20,"Near Kano, Nigeria",Military - Nigerian Air Force,125,Unknown,Hawker Siddeley HS-748,5N-AXO,257196,14,14,0
01/22/96,12:00,"Off Point Pedro, Sri Lanka",Military - Sri Lanka Air Force,126,Unknown,Mil Mi-17 (helicopter),CH-587,Unknown,39,39,0
01/29/96,16:26,"Near Blenheim, New Zealand",Soundsair,127,Wellington - Picton,Cessna 208 Caravan I,ZK-SFA,20800051,6,5,0
02/04/1996,14:12,"Asuncion, Paraguay",Lineas Aereas del Caribe,128,Asuncion - Campina Grande,McDonnell Douglas DC-8-55F,HK-3979X,45882/282,4,4,24
02/05/1996,09:50,"St. Johns, Arizona",Business Air Connection,129,"St. Johns, AZ - Brownsville, TX",ConvairCV-440,N131T,338,4,4,0
02/06/1996,23:47,"Off Puerto Plata, Domincan Republic","Alas Nacionales, leased from Birgen Air",130,Puerto Plata - Gander,Boeing B-757-225,TC-GEN,22206/31,189,189,0
02/06/1996,20:20,"Near Ensenada, Mexico",Aí©rotaxi Cachanilla,131,Tijuana - Ensenada,Cessna 500 Citation,XA-SLQ,500-0111,8,8,0
02/11/1996,12:00,"Near Kandahar, Afghanistan",Military - Taliban Militia,132,Unknown,Unknown,Unknown,Unknown,20,20,0
02/12/1996,12:01,"Port-au-Prince, Hati",Hati Express,133,Port-au-Prince - Cap Haitien,GAF Nomad N-24A,N224E,62,15,11,0
02/16/96,12:00,"El Zapotal, Guatemala",AVCOM,134,Guatemala City - Cantabal,de Havilland Canada DHC-6 Twin Otter 300,TG-JAK,714,2,2,0
02/19/96,12:00,"Salzburg, Austria",Private Wings,135,Berlin - Salzburg,Cessna 550 Citation,D-CASH,550-0564,10,10,0
02/26/96,19:00,"Near Jabal Awliya, Sudan",Military - Sudanese Air Force,136,El Obeid - Khartoum,Lockheed C-130H,Unknown,Unknown,91,91,0
02/27/96,05:40,"Near Lukapa, Angola",Aero Tropical,137,Ludana - Lukapa,Antonov 12BP,ER-ACE,402812,8,8,0
02/29/96,20:25,"Arequipa, Peru",Compania de Aviacion Faucett SA (Peru),138,Lima - Arequipa,Boeing B-737-222,OB-1451,19072/86,123,123,0
03/02/1996,12:00,"Sao Paulo, Brazil",Madrid Taxi Aí©reo - Charter,139,Brasilia - Sao Paulo,Gates Learjet 25D,PT-LSD,25D-243,9,9,0
03/09/1996,12:00,"Near Mesones Muro, Peru",Military - Peruvian Army Aviation,140,Condorcanqui - Bagua,Mil Mi-17,EP561,Unknown,23,23,0
03/13/96,12:00,"Near Punto Fijo, Venezuela",Avia Air Aruba,141,Ariba - Punto Fijo,Cessna 402,P4-AVB,402B-1201,8,8,0
03/17/96,12:37,"Key West, Florida",Key West Sea Plane Service - Air Taxi,142,Unknown,Cessna U206G,N9983Z,U20606794,5,5,0
04/03/1996,14:52,"Near Dubrovnik, Croatia",Military - U.S. Air Force,143,Tizla - Dubrovnik,Boeing B-737-T43,73-1149,20696/347,35,35,0
04/05/1996,14:44,"Near Petropavlovsk, Russia",Krasnoyarskie Avialinii,144,Novosibirsk - Petropavlovsk,Ilyushin IL-76TD,RA-76752,93498967,20,20,0
04/05/1996,12:00,"Off Matsu Island, Taiwan",Formosa Airlines,145,Taipei - Matsu Island,Dornier 228-212,B-12257,8223,17,6,0
04/11/1996,08:24,"Cheyenne, Wyoming",Private,146,"Cheyenne, WY - Lincoln, NE",Cessna 177B,N35207,17702266,3,3,0
05/03/1996,22:00,"Near Haj Yousif, Sudan",Federal Airlines,147,Wadi Halfa - Khartoum,Antonov AN-24,ST-FAG,STFA001,53,53,0
05/09/1996,12:00,"Near Terrace, British Columbia, Canada",Buffalo Narrows Airways,148,Unknown,de Havilland Canada DHC-3 Otter,C-GDOB,194,2,2,0
05/10/1996,12:00,"Otaez, Mexico",Aeroservicios Empresariales de Durango,149,Durango - Otaez,de Havilland Canada DHC-6 Twin Otter 200,XA-SWJ,126,19,16,0
05/11/1996,13:15,"Oumba, Papua New Guinea",Milne Bay Air,150,Menyamya - Marakawa,Britten Norman BN-2A-20 Trislander,P2-ISD,582,10,1,0
05/11/1996,14:15,"Everglades, Miami, Florida",ValuJet,151,Miami - Atlanta,McDonnell Douglas DC-9-32,N904VJ,47377/496,110,110,0
05/19/96,23:36,"Griesta, United Kingdom",Loganair,152,Inverness - Lerwick,Britten-Norman BN-2A-26 Islander,G-BEDZ,544,3,3,0
06/06/1996,12:00,"Kinshasa, DemocratiRepubliCongo",Hoseba,153,"Kinshasa, Congo  - Athens, Greece",Ilyushin 76MD,UR-76539,33442234,10,10,0
06/09/1996,14:55,"Rasht, Iran",Iran Air,154,Training,Boeing 727-286,EP-IRU,21079/1131,7,7,0
06/12/1996,19:00,"Near Rollingstone, Queensland  Australia",Military - Australian Army Aviation,155,Unknown,Sikorsky S-70 / Sikorsky S-70,A25-113/A25-209,70-1186 / 70-1346,28,18,0
06/13/96,12:07,"Fukuoka, Japan",Garuda Indonesia Airlines,156,Fukuoka - Denpasar,McDonnell Douglas DC-10-30,PK-GIE,46685/284,275,3,0
06/21/96,17:04,"Shanghai, China",China Flying Dragon Aviation (Feilong Airlines),157,Dalian - Shanghai,Harbin Yunshuji Y-12-II,B-3822,1,12,2,0
07/06/1996,15:42,"Pensacola, Florida",Delta Air Lines,158,Pensacola - Atlanta,McDonnell Douglas MD-88,N927DA,49714/1524,142,2,0
07/09/1996,16:30,"Papua, New Guinea",Milne Bay Air,159,Bosavi - Mendi,de Havilland Canada DHC-6 Twin Otter 300,P2-MBB,290,20,20,0
07/11/1996,09:00,"Near Kanda, India",Archana Airlines,160,Delhi - Shimla - Kulu,Let 410,VT-ETC,942703,9,9,0
07/15/96,18:00,"Near Eindhoven, The Netherlands",Military - Belgian Air Force,161,"Villafranca, Italy - Eindhoven AB",Lockheed C-130H,CH-06,4473,41,34,0
07/17/96,20:31,"Off East Moriches, New York",Trans World Airlines,162,New York City - Paris,Boeing B-747-131,N93119,20083/153,230,230,0
07/17/96,16:35,"Near Playa del Carmen, Mexico",Aerolatino (Aerocaribe),163,Holvox Island - Playa del Carmen,de Havilland Canada DHC-6 Twin Otter 300,XA-TCF,734,18,1,0
07/20/96,15:15,"Russian Mission, Alaska",Northern Air Cargo,164,Emmonak - Aniak,Douglas DC-6A,N313RS,44663/630,4,4,0
07/24/96,12:00,"Near Mergui, Manmar",Myanmar Airways,165,Rangoon - Mergui,Fokker F-27 Friendship 600,XY-AET,10433,49,8,0
08/12/1996,13:47,"Markham Bay, Canada",First Air,166,Iqaluit - Markham Bay,de Havilland Canada DHC-6 Twin Otter 300,C-GNDN,427,2,2,0
08/14/96,12:00,"Near Bronson Creek, British Columbia, Canada",Air North,167,Bronson Creek - Wrangell,Douglas DC-4,C-FGNI,10389/120,3,1,0
08/17/96,23:48,"Near Jackson Hole, Wyoming",Military - U.S. Air Force,168,"Jackson Hole, WY - New York, NY",Lockheed C-130H Hercules,74-1662,4597,9,9,0
08/18/96,19:50,"Near Alliford Bay, British Columbia, Canada2",Harbour Air,169,Tasu - Alliford,de Havilland Canada DHC-3 Turbo Otter,C-GCMY,32,3,3,0
08/19/96,03:16,"Belgrade, Yugosalvia",Spair Air Transport,170,Belgrade - Malta,Ilyushin IL-76T,RA-76513,83414451,12,12,0
08/29/96,10:22,"Spitsbergen, Norway",Vnokovo Airlines,171,Moscow - Svalbard,Tupolev TU-154M,RA-85621,86A-742,141,141,0
09/13/96,12:00,"Joinville, Brazil",Helisul Taxi Aí©reo,172,Porto Alegre - Joinville,Embraer EMB-110 Bandeirante,PT-WAV,110048,2,2,0
09/23/96,17:00,"Anchorage, Alaska",Air Taxi - Stearns Air Alaska,173,Unknown,Cessna 206G,N7312C,U20603872,5,3,0
09/25/96,16:37,"Waddenzee, Netherlands",Dutch Dakota Association,174,Texel - Amsterdam,Douglas DC-3C,PH-DDA,19109,32,32,0
10/02/1996,01:16,"Off Pasamayo, Peru",Aeroperu,175,Lima - Santiago,Boeing B-757-200,N52AW,25489/505,70,70,0
10/03/1996,12:00,"Kahemba, Congo",Malu Aviation,176,Unknown,de Havilland Canada DHC-6 Twin Otter 200,9Q-CXK,74,21,6,0
10/06/1996,12:00,"Lukapa, Angola",Savanair,177,Unknown,Antonov 12B,RA-11101,1347703,19,6,0
10/08/1996,10:50,"San Francesco al Campo, Italy",Aeroflot,178,"Moscow - Turin, Italy",Antonov An-124,RA-82069,9.77E+12,23,2,0
